AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,county,date,year
,,,90,73,11,,7,,,,,,,,6,,,203,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1138,507,,,,,,,,,,,Montgomery County,2000-01-01T00:00:00,2000
,537,537,115,66,10,,11,10,131,34,179,17,7,,20,-23.3,,152,69.9,36.1,,-2.2,-2.2,-5,-6.7,-11.7,-0.6,-2.8,-5.6,-6.7,-12.2,2690.4,,,2690.4,,,,,,,,,,,928.9,601,11.12,17.64,4.61,,,,,,,,Morgan County,2000-01-01T00:00:00,2000
,,,89,63,11,33,8,,,,,,11,,,,102,76,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.9,444,,,,,,,,,,,Moultrie County,2000-01-01T00:00:00,2000
,383.55,383.55,105,67,12.5,67,16.75,22.5,139.5,61,157,7.5,62.66666667,,32.66666667,-28.9,406.5,214,85.1,34.75,,-1.7,-3.05,-8.35,-8.35,-11.4,-1.95,-4.15,-4.4,-7.25,-10.55,3382.85,,,3382.85,,,,,,,,,,,1040.825,1309.75,9.15,15.07,3.22,,,,,,,,Ogle County,2000-01-01T00:00:00,2000
3.7,556.8,556.8,110,65.5,3.5,43,10,12,122,48,165,13,81,25,29.66666667,-24.4,330,150.6666667,39.4,36.1,,-2.2,-2.2,-6.1,-8.3,-12.2,-1.7,-2.2,-5,-7.2,-10.6,2870,,,2870,,,,,,,,,,,739.25,789.3333333,10.96,16.3,5.62,200,210,,,18.3,22.8,,Peoria County,2000-01-01T00:00:00,2000
,710.5,710.5,107.6666667,75,11.66666667,22,6,2.5,107.5,26,188.5,22.5,20,,47,-18.9,152.3333333,132,129.8,36.95,,-1.15,-2.2,-4.4,-7.5,-10,-1.4,-7.5,-7.5,-8.05,-10,2228.8,,,2228.8,,,,,,,,,,,1194.966667,350,13.015,18.865,7.175,,,,,,,,Perry County,2000-01-01T00:00:00,2000
,,,94,63,8,36,5,,,,,,40,,43,,203,80,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,870.7,328,,,,,,,,,,,Piatt County,2000-01-01T00:00:00,2000
,603.3,603.3,107.5,65.5,6.5,16,9,12,120,35,173,18,,,,-22.2,101.5,108,69.2,36.1,,-2.2,-2.2,-6.1,-7.8,-10,-1.1,-2.8,-5,-8.3,-9.4,2518.8,26.1,26.7,2518.8,36.1,29.4,-4.4,-3.3,-2.2,-1.1,10.1,12.1,16,14.1,835.4,658,11.48,17.37,5.59,,,,,,,,Pike County,2000-01-01T00:00:00,2000
,844.7,844.7,98.5,68.5,13.5,,2,0,93,22,204,35,39,,17,-16.65,,76,94.1,37.75,,-0.3,-3.6,-5.8,-7.5,-10.3,-1.95,-2.2,-5.85,-8.05,-9.4,1930.9,,,1930.9,,,,,,,,,,,1169.45,120.5,14.315,20.22,8.415,,,,,,,,Pope County,2000-01-01T00:00:00,2000
,,,100,77,14,16,,,,20,168,23,32,,20,,76,,100.1,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,1167,,,18.62,,,,,,,,,Pulaski County,2000-01-01T00:00:00,2000
