AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,county,date,year
,512.9,512.9,,,,,11,20,132,42,170,16,,,,-26.7,,178,,37.2,,-2.2,-2.2,-5.6,-8.9,-8.9,-1.7,-2.8,-4.4,-6.7,-9.4,,,,,,,,,,,,,,,,845,10.47,16.68,4.26,,,,,,,,Putnam County,2000-01-01T00:00:00,2000
,672.5,672.5,100.6666667,74.33333333,9.666666667,24,5.666666667,5,115,30,189,24,26.66666667,,41,-18.3,228.5,177.6666667,108.8666667,37.8,,0,-3.3,-4.4,-8.3,-10.6,0,-6.1,-6.1,-7.2,-9.4,,,,,,,,,,,,,,,1092.9,509.3333333,12.58,18.61,6.55,,,,,,,,Randolph County,2000-01-01T00:00:00,2000
,676.2,676.2,106,76,16,,8,4,108,36,184,17,18,,23,-20,,180,94.7,35,,-2.8,-2.8,-7.2,-7.2,-8.9,-1.1,-2.8,-14.4,-14.4,-14.4,2445,,,2445,,,,,,,,,,,1449.2,706,12.4,18.12,6.68,,,,,,,,Richland County,2000-01-01T00:00:00,2000
3.6,566.2333333,566.2333333,136.5,70,10.25,,14.5,14,122,49.66666667,164.6666667,12,104.5,27,16,-26.13333333,,207,62.55,35.53333333,,-1.5,-3.5,-5.733333333,-9.066666667,-10.93333333,-2.6,-3.333333333,-5.333333333,-7.966666667,-10,3056.1,,,3056.1,,,,,,,,,,,991.325,1411,10.69333333,15.91,5.473333333,210,200,,,17.4,23.2,,Rock Island County,2000-01-01T00:00:00,2000
3.1,742.8,742.8,115,77.66666667,13.33333333,26,7.5,1.5,109,27,185,31,27.5,,37,-19.45,203.5,171.5,77.3,37.8,,0,-3.35,-5.55,-8.05,-9.7,-0.3,-2.2,-7.5,-7.5,-10.3,2177.4,,,2177.4,,,,,,,,,,,1175.766667,561.5,12.89,18.54,7.24,320,290,,,17.4,25.5,,St. Clair County,2000-01-01T00:00:00,2000
,,,101,79,13,,,,,22,191,30,,,,,,,107.7,37.8,,,,,,,,,,,,1931.1,,,1931.1,,,,,,,,,,,1207.7,,,19.59,,,,,,,,,Saline County,2000-01-01T00:00:00,2000
4.2,588.4,588.4,109,61,6,37.5,7.5,11,123,38,176,10,105,21,40,-22.8,203.5,133.5,64.5,35.6,,-1.7,-2.8,-5.6,-7.8,-11.7,0,-2.2,-10.6,-10.6,-10.6,2722.6,,,2722.6,,,,,,,,,,,793.4,598.5,11.39,17,5.78,250,170,,,17.9,22.8,,Sangamon County,2000-01-01T00:00:00,2000
,,,93,67,5,,5,,,,,,,,1,,,152,81,,,,,,,,,,,,,,,,,,,,,,,,,,,765.4,536,,,,,,,,,,,Schuyler County,2000-01-01T00:00:00,2000
,612.75,612.75,105,68.5,8.5,24,9.5,6.5,124,36,178.5,18.5,40,,46,-20,152,150,63.1,36.1,,-1.1,-4.7,-4.7,-7.8,-10.3,-0.3,-2.2,-6.4,-6.95,-12.5,2689.3,,,2689.3,,,,,,,,,,,918.15,642,11.55,17.335,5.76,,,,,,,,Scott County,2000-01-01T00:00:00,2000
,542.5,542.5,119.5,70.5,14,32,10,5.5,114,40.5,178.5,12.5,2.333333333,,13,-20,178,152.5,108.1,34.7,,-1.65,-2.75,-5.25,-7.25,-10.55,-1.15,-2.75,-6.7,-7.25,-9.75,2371.2,,,2371.2,,,,,,,,,,,1220.15,669.5,11.61,17.4,5.815,,,,,,,,Shelby County,2000-01-01T00:00:00,2000
,480,480,95,63.5,6.5,46,10.5,20,131,48,164,8,22,,22,-27.8,483,208.5,42.55,35.6,,-2.2,-2.2,-6.1,-7.2,-13.3,0,-3.9,-5.6,-7.2,-8.9,3131,,,3131,,,,,,,,,,,863.5,1125.5,10.03,15.97,4.1,,,,,,,,Stark County,2000-01-01T00:00:00,2000
,,,114,65,13,,16,,,,,,,,,,,152,82.8,,,,,,,,,,,,,3603.9,,,3603.9,,,,,,,,,,,1090.5,1267,,,,,,,,,,,Stephenson County,2000-01-01T00:00:00,2000
,,,106,73,5,,9,,,,,,21,,33,,,127,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,790,813,,,,,,,,,,,Tazewell County,2000-01-01T00:00:00,2000
,780.2,780.2,109,76,12,24,4,1,96,23,195,31,18,,24,-18.9,127,127,105.7,37.2,,-1.1,-2.8,-5,-8.3,-8.9,0,-3.3,-6.7,-6.7,-11.1,2033.6,,,2033.6,,,,,,,,,,,1242.7,359,13.88,20.04,7.72,,,,,,,,Union County,2000-01-01T00:00:00,2000
,554.1,554.1,113,73,7.333333333,42.5,12,12,119.5,41.5,176,11,5.5,,13,-22.5,222,143.6666667,43.43333333,35.25,,-2.5,-2.5,-7.2,-7.2,-10.3,-1.15,-3.6,-8.35,-10,-13.35,2704.9,,,2704.9,,,,,,,,,,,889.6,885.3333333,11.165,16.895,5.435,,,,,,,,Vermilion County,2000-01-01T00:00:00,2000
,,,,,,,10,,,,,,2,,8,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,,,,Wabash County,2000-01-01T00:00:00,2000
,472.6,472.6,116.5,68,9.5,49,11.5,18,128,51,172,12,7,,,-27.2,305,160,59.05,37.8,,-3.9,-3.9,-7.2,-7.2,-8.9,-2.8,-2.8,-4.4,-7.8,-10,3063.5,26.1,26.1,3063.5,36.1,35.6,-1.1,-1.1,0,-0.6,11.2,11.1,15.2,13.5,894.05,887.5,10.04,16.14,3.95,,,,,,,,Warren County,2000-01-01T00:00:00,2000
,733.3,733.3,106.5,72.5,9,24,4.5,3,97,29,178,16,,,23,-19.4,279,193,94.25,35,,-1.1,-3.9,-7.2,-7.2,-10,-2.2,-2.2,-7.2,-7.2,-9.4,2185.3,,,2185.3,,,,,,,,,,,1160.75,445.5,13.15,18.34,7.96,,,,,,,,Washington County,2000-01-01T00:00:00,2000
,613.5,613.5,91,66.33333333,14.66666667,22,6.333333333,5,116,30,181,13,1,,17,-20.6,152,190.3333333,88.6,35,,-1.7,-2.8,-5.6,-8.3,-9.4,0,-3.3,-11.7,-11.7,-11.7,2434,,,2434,,,,,,,,,,,1156.133333,534.3333333,12.15,17.97,6.32,,,,,,,,Wayne County,2000-01-01T00:00:00,2000
,725.3,725.3,90,69,13,3,7,1,104,28,200,26,14,,39,-18.9,76,100,96.1,36.7,,0,-2.2,-5.6,-7.8,-8.9,-3.9,-3.9,-7.2,-7.2,-11.1,2063.4,,,2063.4,,,,,,,,,,,1152.4,366,13.27,19.65,6.89,,,,,,,,White County,2000-01-01T00:00:00,2000
,495.5,495.5,96.2,66.8,11.2,63,14.5,19.5,132,64,136.5,3,10,,26,-28.6,400,202.25,68.34,33.05,,-2.75,-2.75,-6.95,-6.95,-13.05,-4.15,-4.15,-4.7,-10.85,-10.85,3380.466667,,,3380.466667,,,,,,,,,,,1001.32,1330.5,10.19,13.735,4.08,,,,,,,,Whiteside County,2000-01-01T00:00:00,2000
,437.8,437.8,107.75,69.5,11.75,48.25,11.25,16,123,55,159,6,6.5,,8.666666667,-23.9,362,205.5,59.375,33.9,,-1.7,-2.8,-5.6,-7.8,-11.1,-2.8,-2.8,-4.4,-7.2,-9.4,3015.6,,,3015.6,,,,,,,,,,,1011.05,1147,10.02,15.36,4.69,,,,,,,,Will County,2000-01-01T00:00:00,2000
4,369.6,369.6,106.5,65.5,13,,18,18,132,64,152,4,113.5,23,25,-30,,255.5,96.1,34.4,,-0.6,-2.2,-6.7,-6.7,-11.7,-1.1,-5,-5,-7.2,-10.6,3449.1,,,3449.1,,,,,,,,,,,1127,1601,9.11,14.63,3.59,160,160,,,16.5,20.6,,Winnebago County,2000-01-01T00:00:00,2000
,473.5,473.5,96.66666667,65.66666667,3,45,8.333333333,17,127,43,175,13,5,,20.33333333,-26.1,368.5,197.3333333,42.36666667,35.6,,-3.3,-3.3,-4.7,-8.6,-11.1,0,-3.9,-5.3,-8.35,-9.15,2902,,,2902,,,,,,,,,,,750.5666667,773.3333333,10.48,16.99,4.145,,,,,,,,Woodford County,2000-01-01T00:00:00,2000
4.2,628.9,628.9,106.3333333,71.33333333,10.33333333,4,2,3,115,31,163,25,94.5,16,52,-21.7,25,25,54.3,36.7,,0,-3.9,-5.6,-7.8,-11.1,-2.2,-2.2,-8.3,-8.3,-10,3440.5,,,3440.5,,,,,,,,,,,972.3333333,102,11.95,17.31,6.58,240,250,,,19.2,24.1,,Adams County,2001-01-01T00:00:00,2001
,845.1,845.1,,,,0,0,0,78,10,198,38,12,,3,-15.6,0,0,,36.7,,-2.2,-2.2,-5.6,-8.3,-8.9,0,-5.6,-5.6,-6.7,-8.9,2550.2,,,2550.2,,,,,,,,,,,,0,14.55,20.41,8.68,,,,,,,,Alexander County,2001-01-01T00:00:00,2001
,,,67,58,9,,0,,,,,,4,,5,,,5,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,799.6,5,,,,,,,,,,,Bond County,2001-01-01T00:00:00,2001
,,,113,72,7,54,5,,,,,,4,,2,,305,76,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,968.1,229,,,,,,,,,,,Boone County,2001-01-01T00:00:00,2001
,,,74,65,7,0,0,,,,,,2,,28,,0,0,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,991,0,,,,,,,,,,,Brown County,2001-01-01T00:00:00,2001
,482.1666667,482.1666667,116.6666667,77,11.66666667,42.66666667,3.5,4.666666667,128.6666667,42.66666667,148,17.33333333,20.66666667,,28,-20.96666667,406.6666667,70.5,58.33333333,35.16666667,,-0.366666667,-2.2,-5.733333333,-7.433333333,-10.2,-0.766666667,-2.4,-7.033333333,-8.333333333,-9.633333333,3742.9,25.6,,3742.9,26.7,,-1.1,,-1.1,,10.4,,11.7,,1031.7,225.75,10.45333333,15.93666667,4.966666667,,,,,,,,Bureau County,2001-01-01T00:00:00,2001
,456.7,456.7,119,76.5,11.5,58,2.5,9,133,42,143,23,15,,40,-25.6,330,42,79.25,35.6,,0,-3.3,-5,-8.3,-8.9,-3.3,-3.3,-4.4,-8.3,-10,3853.1,,,3853.1,,,,,,,,,,,1036.85,161.5,10.06,16.11,4.02,,,,,,,,Carroll County,2001-01-01T00:00:00,2001
,,,90,66.5,9,16,2,,,,,,21,,35,,101.5,23,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,919.7,73.5,,,,,,,,,,,Cass County,2001-01-01T00:00:00,2001
4.5,524.6,524.6,108.2,66,6.4,14.5,1.4,2.666666667,125.3333333,25,166.6666667,26.33333333,12.8,,21.5,-19.83333333,120.75,47.8,49.94,37.23333333,,-0.933333333,-3.133333333,-4.6,-7.6,-10.53333333,-2.433333333,-4.066666667,-5.366666667,-7.066666667,-10,3370.5,28.3,27.2,3370.5,33.3,29.4,-0.6,0.6,0,0.6,12.9,12.8,16.2,14.5,851.72,106.8,11.26,17.48666667,5.036666667,200,200,,,23.2,27.7,,Champaign County,2001-01-01T00:00:00,2001
,564.2,564.2,101,67,8,24,2,1,117,31,167,22,3.5,,9.5,-20.6,152,51,41.1,37.8,,-1.7,-2.2,-5,-7.2,-10.6,-1.7,-2.2,-8.3,-8.3,-8.9,3262.5,,,3262.5,,,,,,,,,,,944.1,115,11.77,17.62,5.92,,,,,,,,Christian County,2001-01-01T00:00:00,2001
,,,105,77,12,24,2,,,,,,,,,,229,25,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.8,74,,,,,,,,,,,Clark County,2001-01-01T00:00:00,2001
,729.25,729.25,89,67.75,6.5,7.25,0.75,1,103,12,186,44,9,,46,-17.8,120.5,42.75,57.4,36.65,,-0.3,-4.15,-5.25,-8.05,-9.4,-1.95,-3.35,-6.15,-7.25,-11.4,2870,,,2870,,,,,,,,,,,894.95,50.75,13.27,19.58,6.96,,,,,,,,Clay County,2001-01-01T00:00:00,2001
,,,94.5,67.5,6,6.5,0.5,,,,,,,,,,63.5,22.5,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,906.15,39.5,,,,,,,,,,,Clinton County,2001-01-01T00:00:00,2001
3.9,647.5666667,647.5666667,114.3333333,69.66666667,8,23,2,0.666666667,102.6666667,21.66666667,169,25.66666667,5,,19,-20.36666667,203,38,82.66666667,35.16666667,,0,-2.566666667,-5.2,-7.233333333,-10.56666667,-1.833333333,-2.933333333,-6.133333333,-7.966666667,-9.433333333,3032.4,,,3032.4,,,,,,,,,,,991.6666667,93,12.50666667,17.98333333,7.03,160,360,,,17.9,65.7,,Coles County,2001-01-01T00:00:00,2001
4.033333333,480.9142857,480.9142857,124.4,75.2,8,45.28571429,3.5,2.714285714,122.8571429,39.14285714,131.8571429,21.85714286,85.6,11,39.4,-19.28571429,337.4285714,99.5,90.13,35.8,,-0.957142857,-2.842857143,-5.571428571,-8.1,-10.48571429,-1.114285714,-3.085714286,-6.514285714,-8.485714286,-9.771428571,3678.085714,26.7,25.6,3678.085714,32.2,28.3,-5.6,-1.7,-0.6,-0.6,10.3,10.7,13.5,12.2,1019.41,271.25,10.46285714,15.73142857,5.191428571,286.6666667,283.3333333,,,21.16666667,25.5,,Cook County,2001-01-01T00:00:00,2001
,719.3,719.3,104.6666667,67,10.66666667,7,1.333333333,1,102,9,190,52,60,,27,-22.8,114.5,30.33333333,89.56666667,35.6,,0,-2.2,-5,-9.4,-9.4,-2.8,-2.8,-7.8,-7.8,-9.4,2903.6,,,2903.6,,,,,,,,,,,1057.666667,74,13.41,20.39,6.42,,,,,,,,Crawford County,2001-01-01T00:00:00,2001
,,,101,72,10,20,2.5,,,,,,2,,,,229,38,75.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.7,94,,,,,,,,,,,Cumberland County,2001-01-01T00:00:00,2001
,464.2,464.2,123.3333333,72,6.333333333,55,4.666666667,4,132,52,132,19,45,,47,-21.7,419,48.33333333,62.9,35.6,,-0.6,-2.2,-6.7,-6.7,-9.4,0,-2.2,-6.7,-6.7,-10,,,,,,,,,,,,,,,908.7,265.6666667,9.72,15.04,4.4,,,,,,,,DeKalb County,2001-01-01T00:00:00,2001
,,,100,67.5,5,,3,,,,,,,,,,,51,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,837.15,101,,,,,,,,,,,De Witt County,2001-01-01T00:00:00,2001
,539,539,106,70,7,20,2,1,117,22,172,25,14,,20,-19.4,229,63.5,56.15,34.4,,-1.1,-2.2,-4.4,-7.2,-10.6,0,-2.2,-5.6,-8.9,-8.9,,,,,,,,,,,,,,,930.65,122.5,11.62,17.44,5.79,,,,,,,,Douglas County,2001-01-01T00:00:00,2001
4.15,483.6666667,483.6666667,135.6666667,75.66666667,8.666666667,45,3,1.666666667,125.6666667,38,136.6666667,28.33333333,92.5,11,38,-19.63333333,406,76.5,96,35.16666667,,-0.733333333,-2.8,-6.133333333,-7.6,-9.8,-2.033333333,-3.333333333,-6.133333333,-7.8,-9.833333333,3612.1,,,3612.1,,,,,,,,,,,1078.633333,213.5,10.62333333,16.22666667,5.016666667,135,240,,,18.35,23,,DuPage County,2001-01-01T00:00:00,2001
,620.4,620.4,105,67,15,18,1,2,105,23,168,21,18,,38,-19.4,203,76,73.2,33.9,,0,-2.8,-4.4,-6.7,-10.6,-1.1,-2.2,-5.6,-8.3,-8.9,,,,,,,,,,,,,,,1101.6,118,12.22,17.58,6.86,,,,,,,,Edgar County,2001-01-01T00:00:00,2001
,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edwards County,2001-01-01T00:00:00,2001
,651.3,651.3,106.3333333,73.66666667,9.666666667,16,2.333333333,2,113,19,174,36,12,,46,-20,143.6666667,43.33333333,68.4,36.1,,0,-3.3,-6.1,-9.4,-9.4,-0.6,-2.2,-6.1,-7.8,-11.1,3223.4,,,3223.4,,,,,,,,,,,963.3333333,100.6666667,12.41,18.6,6.22,,,,,,,,Effingham County,2001-01-01T00:00:00,2001
,633.1,633.1,106,74,8.5,15,1.5,2,112,20,174,30.5,26,,38,-19.45,229,47,41.9,36.1,,-0.3,-3.35,-4.4,-8.3,-9.7,-0.3,-2.5,-6.4,-7.5,-10.3,3205.15,,,3205.15,,,,,,,,,,,939.6,92.5,12.325,18.22,6.435,,,,,,,,Fayette County,2001-01-01T00:00:00,2001
,464.5333333,464.5333333,118,74.33333333,10,39,4,3.333333333,133,33.66666667,159.6666667,21.33333333,28,,23,-19.23333333,266.5,84.66666667,55.53333333,35,,-0.2,-2.766666667,-4.966666667,-7.433333333,-10.2,-1.5,-2.933333333,-6.1,-8.3,-9.633333333,3601.033333,,,3601.033333,,,,,,,,,,,1042.066667,266.6666667,10.74666667,16.58,4.92,,,,,,,,Ford County,2001-01-01T00:00:00,2001
,785.4,785.4,78,60.5,14.5,7.5,0.666666667,0,78,9,186,47,3,,33,-12.8,114.5,15.33333333,78.6,36.7,,0,-3.3,-5,-7.2,-8.9,-2.2,-2.2,-7.8,-7.8,-10.6,,,,,,,,,,,,,,,1136.45,32.33333333,14.21,19.96,8.46,,,,,,,,Franklin County,2001-01-01T00:00:00,2001
,593.9,593.9,100.6666667,76,10.33333333,0,6.666666667,4,132,26,173,37,60,,41.5,-20.6,0,61,53.23333333,38.3,,-0.6,-2.8,-4.4,-7.8,-8.9,0,-2.8,-5.6,-7.8,-10,3479.8,,,3479.8,,,,,,,,,,,1024.266667,299.6666667,11.46,18.11,4.82,,,,,,,,Fulton County,2001-01-01T00:00:00,2001
,,,102,74,14,0,1,,,,,,6,,17,,0,12.5,77.35,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.5,47,,,,,,,,,,,Gallatin County,2001-01-01T00:00:00,2001
,596.6,596.6,99.5,73.5,11.5,4,1,5,119,25,169,23,17.5,,35,-22.2,101.5,44.5,57,35,,-1.7,-2.2,-5,-7.2,-10,-1.1,-3.9,-7.8,-7.8,-9.4,3300.7,,,3300.7,,,,,,,,,,,1077.55,65.5,11.94,17.63,6.24,,,,,,,,Greene County,2001-01-01T00:00:00,2001
,467.1,467.1,121,69,7,,0,4,126,39,144,22,7,,2,-21.1,,0,55.6,35,,-1.7,-2.2,-4.4,-8.3,-11.1,-2.2,-2.2,-4.4,-6.7,-9.4,3608.2,,,3608.2,,,,,,,,,,,875.5,0,10.56,16.28,4.84,,,,,,,,Grundy County,2001-01-01T00:00:00,2001
,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamilton County,2001-01-01T00:00:00,2001
,591.725,591.725,102.1428571,76.42857143,11.28571429,27.5,4.571428571,4.5,118.25,29,165,25.5,7.75,,39,-21.95,222.25,50.85714286,117.1714286,36.675,,-0.7,-2.2,-5.25,-7.65,-10.7,-0.7,-3.9,-7.1,-8.35,-9.425,3476.325,,,3476.325,,,,,,,,,,,1147.828571,204,11.6425,17.3075,5.975,,,,,,,,Hancock County,2001-01-01T00:00:00,2001
,,,97,72,14,6,0,,,,,,1,,7,,76,0,101.1,,,,,,,,,,,,,2808.4,,,2808.4,,,,,,,,,,,1374.1,0,,,,,,,,,,,Hardin County,2001-01-01T00:00:00,2001
,543.1,543.1,124,80,10,,0,6,110,39,158,20,5,,,-23.3,,0,50.3,35,,-1.1,-2.2,-5,-8.3,-10,0,-10,-10,-10,-10,3578,,,3578,,,,,,,,,,,1082.1,0,11.15,16.44,5.87,,,,,,,,Henderson County,2001-01-01T00:00:00,2001
,498.2666667,498.2666667,116.6666667,77.33333333,9.333333333,47,4.5,3,128.3333333,44.33333333,153.3333333,19.66666667,17,,4.5,-20.76666667,406,65.25,56.96666667,35.2,,-0.2,-2.566666667,-7.033333333,-7.033333333,-10.4,-2.2,-2.766666667,-6.1,-7.4,-10,3713.6,,,3713.6,,,,,,,,,,,990.7666667,253.25,10.61333333,16.16666667,5.053333333,,,,,,,,Henry County,2001-01-01T00:00:00,2001
,460.8,460.8,125,69,9,31.5,2.5,6,130,33,160,19,26.66666667,,24,-23.3,254,67.5,55.4,34.4,,-2.2,-2.2,-5,-7.8,-11.1,-2.2,-2.2,-5,-8.9,-8.9,3625.9,,,3625.9,,,,,,,,,,,1019.2,175.5,10.83,16.64,5.01,,,,,,,,Iroquois County,2001-01-01T00:00:00,2001
3.2,702.6,702.6,112,73.5,11.75,9,1.333333333,2,98,13.5,188.5,26,35,,36,-18.05,118.3333333,23.66666667,72.4,34.4,,-0.3,-2.8,-5,-6.7,-10,-2.25,-2.5,-4.7,-7.2,-12.2,2804.25,,,2804.25,,,,,,,,,,,1232.775,46.33333333,13.505,19.39,7.63,200,190,,,20.6,24.6,,Jackson County,2001-01-01T00:00:00,2001
,579.65,579.65,96.33333333,67.33333333,11,15,2.333333333,1.5,101,18,169.5,16,17.66666667,,32,-18.6,229,42.33333333,58.73333333,34.15,,-0.55,-3.6,-5.25,-9.15,-9.15,-1.4,-2.5,-4.7,-7.75,-10.55,3090.6,,,3090.6,,,,,,,,,,,1036.733333,100.6666667,12.4,17.995,6.805,,,,,,,,Jasper County,2001-01-01T00:00:00,2001
,659.8,659.8,93,61.33333333,11.66666667,9.666666667,0.333333333,1,108,12,173,21,4,,27,-18.3,110,19.66666667,68.3,35,,0,-3.3,-6.1,-8.9,-8.9,-1.1,-3.3,-5.6,-8.9,-8.9,3022.3,,,3022.3,,,,,,,,,,,1034.5,28.33333333,12.83,18.53,7.12,,,,,,,,Jefferson County,2001-01-01T00:00:00,2001
,,,,,,,,,,,,,4,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey County,2001-01-01T00:00:00,2001
,394.65,394.65,110.5,76.25,10,65,5.75,9.5,130.5,46,135,17,33.5,,25.66666667,-24.7,490.6666667,57.25,76.075,36.65,,-1.65,-2.2,-5.8,-6.95,-10.55,-2.8,-3.05,-6.65,-8.9,-8.9,3862.05,,,3862.05,,,,,,,,,,,1020.425,235.25,9.475,15.185,3.765,,,,,,,,Jo Daviess County,2001-01-01T00:00:00,2001
4.1,430.95,430.95,117,77.66666667,5.666666667,50,3,4.5,128,40.33333333,135.3333333,25,6,,14.5,-22.5,394,42.33333333,73.56666667,36.13333333,,-2.5,-2.5,-5.25,-6.95,-11.4,-2.2,-2.75,-5.55,-8.05,-9.15,3841.2,,,3841.2,,,,,,,,,,,934.3333333,152.6666667,9.95,15.92333333,4.31,200,200,,,60.4,60.4,,Kane County,2001-01-01T00:00:00,2001
,,,118,75,7.666666667,42,2.666666667,4,125,32,153,28,13,,15,-20.6,347,87.33333333,44.86666667,35,,-0.6,-3.3,-5.6,-6.7,-8.9,0,-2.8,-8.9,-8.9,-8.9,,,,,,,,,,,,,,,885.2333333,243.3333333,10.96,17.12,4.81,,,,,,,,Kankakee County,2001-01-01T00:00:00,2001
,,,118,69,7,42,2,,,,,,,,,,330,38,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,905.9,127,,,,,,,,,,,Kendall County,2001-01-01T00:00:00,2001
,536,536,111.8,75,9.4,43.33333333,4.4,3,120,41,149,19,35,,37.66666667,-21.1,321.6666667,45.2,50.44,34.4,,-0.6,-8.3,-8.3,-8.3,-10.6,-1.7,-8.9,-8.9,-8.9,-8.9,3610.9,,,3610.9,,,,,,,,,,,968.02,202.2,11.08,16.25,5.9,,,,,,,,Knox County,2001-01-01T00:00:00,2001
3.8,409.8,409.8,127.6666667,72.66666667,6.5,59.6,3.2,2.6,129.2,44.2,123,13.4,50,,29.66666667,-19,411.4,59,61.5,35.7,,-0.58,-2.64,-6.12,-7.46,-11.34,-2,-2.86,-5.74,-8.66,-9.44,3883.5,,,3883.5,,,,,,,,,,,950.0833333,235,9.76,14.786,4.732,220,210,,,21,26.4,,Lake County,2001-01-01T00:00:00,2001
,487.7,487.7,127.3333333,74.5,9.833333333,33,3.5,4.6,122,35.6,157.4,21.2,16.2,,21.16666667,-20.56,294.8,58.83333333,59.1,35.12,,-0.9,-2.32,-5.8,-7.8,-9.78,-1.9,-2.78,-6.08,-8.22,-9.66,3660.925,25.6,,3660.925,26.7,,-1.1,,-1.1,,10.4,,11.7,,984.8166667,209.8333333,10.894,16.748,5.04,,,,,,,,La Salle County,2001-01-01T00:00:00,2001
3.7,675.2,675.2,122,64,13,,,2,93,15,178,32,,,,-21.1,,,119.1,36.7,,0,-2.2,-4.4,-6.7,-10,-1.7,-6.1,-6.1,-7.2,-13.9,2965.9,,,2965.9,,,,,,,,,,,1100,,13.15,19.01,7.3,360,360,,,38.4,38.9,,Lawrence County,2001-01-01T00:00:00,2001
,425.9,425.9,115.75,76.75,8.5,56.66666667,4.5,8,132,52.66666667,134.6666667,12,33.66666667,,32.66666667,-24.75,465.3333333,71.25,52.3,33.86666667,,-0.3,-2.75,-5.8,-7.5,-9.7,-0.85,-3.05,-7.5,-7.5,-9.75,3954.9,,,3954.9,,,,,,,,,,,937.1,296.75,9.77,14.99333333,4.25,,,,,,,,Lee County,2001-01-01T00:00:00,2001
,482.5333333,482.5333333,106.6,72.6,10.2,22.25,3,3.666666667,126.3333333,34.33333333,154,19.33333333,19.66666667,,10,-19.43333333,222,75.5,53.74,35.73333333,,-0.366666667,-2.933333333,-6.133333333,-7.433333333,-10.2,-1.866666667,-2.766666667,-7.033333333,-7.4,-9.833333333,3601.15,,,3601.15,,,,,,,,,,,995,236.5,10.79666667,16.54,5.056666667,,,,,,,,Livingston County,2001-01-01T00:00:00,2001
,538.4,538.4,116.6666667,72.33333333,8,23,3.333333333,4,117,24,168,27,44,,34.5,-20,178,75.66666667,54.93333333,35.6,,0,-3.3,-6.7,-6.7,-10.6,-2.2,-2.2,-7.2,-7.2,-9.4,3310.2,25.6,,3310.2,32.2,,-2.2,,-1.1,,10.9,,14.4,,900.3333333,229.6666667,11.43,17.64,5.21,,,,,,,,Logan County,2001-01-01T00:00:00,2001
,,,116,78,10,33,6,,,,,,29,,19,,305,64,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,992.7,243,,,,,,,,,,,McDonough County,2001-01-01T00:00:00,2001
,,,112.6666667,71.66666667,7.666666667,60,3,,,,,,58.33333333,,30.66666667,,406.6666667,49,63.56666667,,,,,,,,,,,,,,,,,,,,,,,,,,,942.2333333,205,,,,,,,,,,,McHenry County,2001-01-01T00:00:00,2001
,551.2333333,551.2333333,102,77.5,9,17.75,2.666666667,4,120.3333333,29.33333333,160.6666667,27.66666667,4.5,,25.5,-20.73333333,152.5,44,60.6,35.56666667,,-0.566666667,-2.6,-5.533333333,-7.433333333,-10.36666667,-1.5,-2.4,-6.866666667,-8.533333333,-10.73333333,3431.366667,,,3431.366667,,,,,,,,,,,991.175,131,11.37,17.33333333,5.403333333,,,,,,,,McLean County,2001-01-01T00:00:00,2001
4.3,535.7,535.7,105.5,64,9,,3,0,116,25,164,21,20.5,,22.5,-17.2,,175,80.9,35.6,,-1.1,-2.2,-5,-7.8,-10,-2.2,-2.2,-5.6,-9.4,-9.4,3365.9,,,3365.9,,,,,,,,,,,1010.15,268,11.85,17.52,6.17,280,280,,,21,27.7,,Macon County,2001-01-01T00:00:00,2001
,741.4,741.4,89.5,67,9.5,14.5,2,0,102,20,175,31,2,,23,-17.2,165,44.5,75.8,36.1,,-0.6,-2.2,-5,-6.7,-10,0,-3.3,-6.1,-8.9,-8.9,3056.8,,,3056.8,,,,,,,,,,,913.45,76,13.16,18.47,7.85,,,,,,,,Macoupin County,2001-01-01T00:00:00,2001
