County,Year,NDWI
CRAWFORD,2005,0.004023806
FRANKLIN,2005,0.007816791
PIATT,2005,0.00615088
ST CLAIR,2005,-0.001201015
HAMILTON,2005,-0.004459937
CUMBERLAND,2005,0.006090642
ADAMS,2005,0.002962864
DE WITT,2005,0.004764
JO DAVIESS,2005,0.025381594
VERMILION,2005,0.005896736
EFFINGHAM,2005,0.002493055
COOK,2005,0.015239817
PIKE,2005,0.002929033
MARION,2005,0.000347275
KNOX,2005,0.010294081
MCHENRY,2005,0.017555179
HENDERSON,2005,0.006764682
HENRY,2005,0.010749079
GREENE,2005,-0.002177837
SALINE,2005,0.000925859
WHITESIDE,2005,0.025568862
DE KALB,2005,0.026468335
WHITE,2005,-0.001937682
LIVINGSTON,2005,-0.005325108
WOODFORD,2005,0.005722868
MERCER,2005,0.017414412
MACON,2005,0.00927485
KENDALL,2005,0.005563636
CLINTON,2005,0.003226608
GRUNDY,2005,0.009239473
PERRY,2005,-0.002068857
JASPER,2005,-3.90E-05
EDGAR,2005,0.013585499
COLES,2005,0.011191083
GALLATIN,2005,-0.003393208
DOUGLAS,2005,0.00665238
RANDOLPH,2005,0.00450949
CHRISTIAN,2005,-0.000807414
WILL,2005,0.008936486
MACOUPIN,2005,-0.005198445
JEFFERSON,2005,0.002659679
POPE,2005,0.015307148
STARK,2005,0.010173267
SCHUYLER,2005,0.012877912
STEPHENSON,2005,0.03104155
LOGAN,2005,0.005119312
LEE,2005,0.018952301
FAYETTE,2005,-0.000312616
LA SALLE,2005,0.006138696
PEORIA,2005,0.012787127
RICHLAND,2005,-0.001626979
WILLIAMSON,2005,0.013284226
IROQUOIS,2005,0.003909872
KANE,2005,0.015412811
SHELBY,2005,0.000196475
MONROE,2005,0.008692873
CARROLL,2005,0.031195739
CLAY,2005,-0.002420941
MASSAC,2005,0.007070902
JOHNSON,2005,0.015569928
BROWN,2005,0.009050989
KANKAKEE,2005,0.005736731
SANGAMON,2005,0.000993166
BOONE,2005,0.028270408
MORGAN,2005,-0.001601131
EDWARDS,2005,-0.001062547
WABASH,2005,-0.000198044
WAYNE,2005,-0.006772978
FULTON,2005,0.011497163
WASHINGTON,2005,-0.006268314
MOULTRIE,2005,0.009449406
TAZEWELL,2005,0.010597854
WARREN,2005,0.009936985
PULASKI,2005,0.009742494
MADISON,2005,0.003443124
MONTGOMERY,2005,-0.003950147
MENARD,2005,0.002470648
HANCOCK,2005,0.007199544
MCLEAN,2005,0.001317911
UNION,2006,0.023587523
MCDONOUGH,2006,-0.004672109
WINNEBAGO,2006,0.02282731
MARSHALL,2006,0.01474545
JERSEY,2006,0.009140431
BUREAU,2006,0.013521984
PUTNAM,2006,0.016645612
MASON,2006,0.001000535
OGLE,2006,0.020301376
DU PAGE,2006,0.017962247
LAKE,2006,0.009939326
CASS,2006,0.002479379
LAWRENCE,2006,0.007079543
CHAMPAIGN,2006,-0.000967855
FORD,2006,-0.001844428
SCOTT,2006,0.006272494
