County,Year,GPP
CUMBERLAND,2012,517.0760218
CUMBERLAND,2013,561.9075988
CUMBERLAND,2014,466.0342335
CUMBERLAND,2015,520.1034284
CUMBERLAND,2016,521.3735962
CUMBERLAND,2017,534.4862049
CUMBERLAND,2018,377.7233524
CUMBERLAND,2019,543.1046682
CUMBERLAND,2020,472.4386828
ADAMS,2000,384.2837074
ADAMS,2001,380.6429808
ADAMS,2002,392.0347637
ADAMS,2003,486.719626
ADAMS,2004,423.5707087
ADAMS,2005,475.7681012
ADAMS,2006,354.2140014
ADAMS,2007,399.1035755
ADAMS,2008,384.3594959
ADAMS,2009,402.1929109
ADAMS,2010,501.3794977
ADAMS,2011,363.0150847
ADAMS,2012,428.4833038
ADAMS,2013,463.4468372
ADAMS,2014,490.0458844
ADAMS,2015,467.5752889
ADAMS,2016,503.88156
ADAMS,2017,478.6329295
ADAMS,2018,350.8520061
ADAMS,2019,535.4861175
ADAMS,2020,536.7305958
DE WITT,2000,240.1532653
DE WITT,2001,236.3251656
DE WITT,2002,351.80449
DE WITT,2003,271.0302992
DE WITT,2004,254.3478546
DE WITT,2005,358.4780764
DE WITT,2006,261.5317208
DE WITT,2007,272.9293911
DE WITT,2008,282.4688783
DE WITT,2009,252.1234241
DE WITT,2010,285.3509208
DE WITT,2011,325.093526
DE WITT,2012,341.5698421
DE WITT,2013,330.282984
DE WITT,2014,322.2652837
DE WITT,2015,353.1676486
DE WITT,2016,370.557139
DE WITT,2017,490.4967674
DE WITT,2018,271.7781228
DE WITT,2019,393.7238853
DE WITT,2020,360.6980385
JO DAVIESS,2000,354.7012417
JO DAVIESS,2001,418.9503943
JO DAVIESS,2002,387.0197924
JO DAVIESS,2003,315.412558
JO DAVIESS,2004,430.0506994
JO DAVIESS,2005,452.3365126
JO DAVIESS,2006,382.4705461
JO DAVIESS,2007,364.1579807
JO DAVIESS,2008,343.8032805
JO DAVIESS,2009,258.4496564
JO DAVIESS,2010,425.3859109
JO DAVIESS,2011,334.0745797
JO DAVIESS,2012,466.2755137
JO DAVIESS,2013,235.7287427
JO DAVIESS,2014,332.3085312
JO DAVIESS,2015,450.5448093
JO DAVIESS,2016,480.4987328
JO DAVIESS,2017,511.3638778
JO DAVIESS,2018,236.1012953
JO DAVIESS,2019,423.6839657
JO DAVIESS,2020,415.7807394
VERMILION,2000,259.5047162
VERMILION,2001,275.697795
VERMILION,2002,373.3969286
VERMILION,2003,291.8949984
VERMILION,2004,280.5776581
VERMILION,2005,349.4680303
VERMILION,2006,286.3639763
VERMILION,2007,280.3237487
VERMILION,2008,335.4176916
VERMILION,2009,270.4779163
VERMILION,2010,272.6382442
VERMILION,2011,374.7226239
VERMILION,2012,385.0716181
VERMILION,2013,426.0238042
VERMILION,2014,334.9856188
VERMILION,2015,422.3181554
VERMILION,2016,393.6363315
VERMILION,2017,483.8560585
VERMILION,2018,286.7293294
VERMILION,2019,422.3828101
VERMILION,2020,392.2393406
EFFINGHAM,2000,456.0411936
EFFINGHAM,2001,334.1306829
EFFINGHAM,2002,414.8723055
EFFINGHAM,2003,438.3259656
EFFINGHAM,2004,380.4547566
EFFINGHAM,2005,494.6608361
EFFINGHAM,2006,330.5147524
EFFINGHAM,2007,378.9611003
EFFINGHAM,2008,498.9143166
EFFINGHAM,2009,469.9411599
EFFINGHAM,2010,419.4496771
EFFINGHAM,2011,468.9065467
EFFINGHAM,2012,484.4368431
EFFINGHAM,2013,538.8516702
EFFINGHAM,2014,461.3428264
EFFINGHAM,2015,505.7917355
EFFINGHAM,2016,587.8939601
EFFINGHAM,2017,496.2771366
EFFINGHAM,2018,380.8727914
EFFINGHAM,2019,560.6741221
EFFINGHAM,2020,468.9743652
COOK,2000,343.372092
COOK,2001,435.2251495
COOK,2002,402.5321633
COOK,2003,307.6750227
COOK,2004,424.2208067
COOK,2005,436.7844371
COOK,2006,431.7135995
COOK,2007,351.8266044
COOK,2008,354.5490526
COOK,2009,281.0799406
COOK,2010,511.3011392
COOK,2011,345.1191783
COOK,2012,544.5535716
COOK,2013,321.4977213
COOK,2014,376.2935818
COOK,2015,479.4790723
COOK,2016,450.53647
COOK,2017,575.2870765
COOK,2018,277.2288851
COOK,2019,413.0367478
COOK,2020,495.3308412
PIKE,2000,384.2961073
PIKE,2001,375.8374311
PIKE,2002,453.2658347
PIKE,2003,462.6050486
PIKE,2004,412.4913648
PIKE,2005,496.2848074
PIKE,2006,361.9378157
PIKE,2007,408.1144589
PIKE,2008,406.2467036
PIKE,2009,405.9930928
PIKE,2010,474.9696196
PIKE,2011,404.1158806
PIKE,2012,428.923969
PIKE,2013,522.1777158
PIKE,2014,494.1406236
PIKE,2015,504.105161
PIKE,2016,501.288034
PIKE,2017,524.3378585
PIKE,2018,373.6591906
PIKE,2019,542.0081703
PIKE,2020,523.3004883
MARION,2000,501.4190376
MARION,2001,407.4894445
MARION,2002,476.157644
MARION,2003,538.7638003
MARION,2004,446.039335
MARION,2005,612.0119727
MARION,2006,405.4131922
MARION,2007,405.3601914
MARION,2008,546.3044212
MARION,2009,503.6721232
MARION,2010,473.1000022
MARION,2011,570.4727744
MARION,2012,473.9421791
MARION,2013,623.1169226
MARION,2014,535.1191233
MARION,2015,621.7888836
MARION,2016,673.7566213
MARION,2017,530.6130764
MARION,2018,460.5201387
MARION,2019,658.3660093
MARION,2020,554.1860101
KNOX,2000,331.8527967
KNOX,2001,307.3848805
KNOX,2002,330.6658358
KNOX,2003,338.4748546
KNOX,2004,343.0964356
KNOX,2005,384.619261
KNOX,2006,278.5460635
KNOX,2007,320.358777
KNOX,2008,295.3845271
KNOX,2009,279.9683098
KNOX,2010,366.5028136
KNOX,2011,322.9386996
KNOX,2012,430.1455616
KNOX,2013,316.5057451
KNOX,2014,352.6011067
KNOX,2015,458.1463321
KNOX,2016,422.3138025
KNOX,2017,483.347433
KNOX,2018,311.5526979
KNOX,2019,470.0628367
KNOX,2020,425.7179339
MCHENRY,2000,303.7828034
MCHENRY,2001,381.5421101
MCHENRY,2002,368.7684782
MCHENRY,2003,248.1863323
MCHENRY,2004,376.3403393
MCHENRY,2005,411.6893211
MCHENRY,2006,387.8616412
MCHENRY,2007,321.728202
MCHENRY,2008,326.1218477
MCHENRY,2009,271.0897716
MCHENRY,2010,377.9597596
MCHENRY,2011,296.9804742
MCHENRY,2012,400.8663421
MCHENRY,2013,252.8571501
MCHENRY,2014,318.0768423
MCHENRY,2015,406.0373003
MCHENRY,2016,356.942219
MCHENRY,2017,466.9734613
MCHENRY,2018,212.182969
MCHENRY,2019,358.0744634
MCHENRY,2020,390.612362
HENDERSON,2000,330.1691794
HENDERSON,2001,356.9808322
HENDERSON,2002,326.9510873
