County,Year,SSM_0,SSM_10,SSM_40,SSM_100
LAWRENCE,2015,0.33466811,0.351483832,0.347809095,0.372579542
LAWRENCE,2016,0.310779865,0.329632821,0.287719549,0.371852599
LAWRENCE,2017,0.301072096,0.315356865,0.267053858,0.36783517
LAWRENCE,2018,0.330992229,0.343860291,0.294004323,0.375820471
LAWRENCE,2019,0.381069847,0.393796837,0.394836619,0.410759474
LAWRENCE,2020,0.325699905,0.33051257,0.317833641,0.385308194
CHAMPAIGN,2000,0.280839073,0.293192998,0.188567967,0.350582676
CHAMPAIGN,2001,0.294425513,0.299530874,0.221227719,0.341729244
CHAMPAIGN,2002,0.276946435,0.321605815,0.270106329,0.371231027
CHAMPAIGN,2003,0.286975863,0.294576359,0.180801486,0.370256032
CHAMPAIGN,2004,0.306049606,0.342559021,0.293473191,0.353466653
CHAMPAIGN,2005,0.288466723,0.31935711,0.245262242,0.367101896
CHAMPAIGN,2006,0.296099512,0.321753143,0.239199186,0.349089652
CHAMPAIGN,2007,0.272234714,0.311708205,0.236969737,0.352131915
CHAMPAIGN,2008,0.331217523,0.350593726,0.26926288,0.374771436
CHAMPAIGN,2009,0.330051294,0.368112353,0.30967319,0.372608645
CHAMPAIGN,2010,0.33181225,0.362649418,0.325114073,0.378163013
CHAMPAIGN,2011,0.324039894,0.339640569,0.197961045,0.362668543
CHAMPAIGN,2012,0.286318272,0.312096915,0.244422195,0.342027412
CHAMPAIGN,2013,0.325129071,0.338002471,0.253943453,0.35552366
CHAMPAIGN,2014,0.308806568,0.317724605,0.201164481,0.351301462
CHAMPAIGN,2015,0.309044638,0.335480795,0.247310563,0.344008118
CHAMPAIGN,2016,0.31613973,0.328463247,0.290634985,0.358839422
CHAMPAIGN,2017,0.280830303,0.307368969,0.256007159,0.370194489
CHAMPAIGN,2018,0.315720567,0.325829448,0.241744098,0.36084643
CHAMPAIGN,2019,0.327119516,0.341670628,0.297859973,0.3626082
CHAMPAIGN,2020,0.305369393,0.324559711,0.26311642,0.367070667
FORD,2000,0.27983838,0.297941619,0.181284441,0.344333492
FORD,2001,0.297066345,0.313689666,0.220140895,0.335464623
FORD,2002,0.280035965,0.312047691,0.262395901,0.363034069
FORD,2003,0.295038658,0.29978717,0.1687967,0.362444204
FORD,2004,0.296898364,0.334906766,0.259442621,0.348399688
FORD,2005,0.277417456,0.318592708,0.239493162,0.365646917
FORD,2006,0.297300193,0.324075141,0.232702793,0.349302289
FORD,2007,0.282206437,0.319710575,0.252394022,0.362131709
FORD,2008,0.330312454,0.349920525,0.275069677,0.367674419
FORD,2009,0.325180639,0.361842594,0.29688692,0.367591933
FORD,2010,0.316453363,0.349822607,0.312250297,0.368580581
FORD,2011,0.317438197,0.342054578,0.181434865,0.357317769
FORD,2012,0.275527145,0.29668181,0.22834136,0.342852389
FORD,2013,0.315448427,0.327079165,0.224046942,0.347364136
FORD,2014,0.303245886,0.316420665,0.2108022,0.3454733
FORD,2015,0.300002349,0.340238942,0.250268671,0.345309835
FORD,2016,0.31231252,0.325135701,0.294222106,0.355105837
FORD,2017,0.284963833,0.307491676,0.256535357,0.365635529
FORD,2018,0.310561813,0.326744341,0.2425978,0.349446771
FORD,2019,0.321903422,0.344180383,0.285348863,0.363261544
